1,-,21776,0,188,319,274,311,331,0,214,enabled,o,go 22764;,
2,left,21776,0,0,319,153,174,331,0,0,enabled,l,go 21716;,
3,right,21776,0,462,319,17,20,331,0,524,enabled,r,go 22034;,
4,right,22034,0,349,320,140,159,332,0,396,enabled,r,go 21716;,
5,-,22034,0,0,320,270,306,332,0,0,enabled,o,go 20863;,
6,left,22034,0,0,319,17,20,331,0,0,enabled,l,go 21776;,
7,right,21716,0,370,319,109,124,331,0,420,enabled,r,go 21776;,
8,left,21716,0,0,319,97,110,331,0,0,enabled,l,go 22034;,
9,GeaMarker,21716,0,259,92,125,142,96,0,294,enabled,,,
10,ClockPath,21716,60,181,259,169,192,269,63,206,enabled,o,?? MY_Gears|go 57311;,
11,ClockPath2,21716,22,295,60,86,98,63,23,335,enabled,o,?? MY_Gears|go 57311;,
12,clock,21716,211,228,63,59,67,66,219,259,enabled,,,
13,marker,21716,0,130,64,165,187,67,0,148,enabled,o,go 22299;,
14,-,21716,0,280,32,71,81,34,0,318,enabled,o,go 22299;,
15,qclo2,21716,96,240,72,36,41,75,100,272,enabled,o,?? MY_Gears|go 57311;,
16,GeaMarker2,22299,135,269,149,113,129,155,141,305,enabled,,,
17,-,22299,0,0,319,480,544,331,0,0,enabled,a,go 21716;,
18,GeaMarker,22299,133,267,155,115,131,161,138,303,enabled,,?? MY_Gears|go 57311|go 21716;,
19,marker,22299,43,123,120,180,204,125,45,140,enabled,,,
20,none,22299,79,125,84,107,122,88,82,142,enabled,,cb MY_Clock tWB:big\tWM:big\tWE:;,
21,-,22299,88,234,62,68,78,65,92,266,enabled,,cb MY_Clock tWB:small\tWM:small\tWE:;,
22,set,22299,56,284,39,44,50,41,59,322,enabled,q,cb MY_Clock setHandsBegan:Beach1-W/down (button)\setHandsMoved:\setHandsEnded:22299;,
23,right,60828,0,397,320,97,110,332,0,450,enabled,r,go 56703;,
24,-,60828,0,83,319,180,204,331,0,95,enabled,o,go 22764;pm AR Howling&Birds Mov;vm 100;,
25,-,60828,58,287,89,179,203,93,61,326,enabled,o,go 21716;pm AR Howling&Birds Mov;vm 100;,
26,left,60828,0,0,320,85,97,332,0,0,enabled,l,go 56703;,
27,-,60828,146,327,85,133,151,89,152,371,enabled,o,go 22034;pm AR Howling&Birds Mov;vm 100;,
28,qfor2,60828,180,146,68,53,61,71,187,166,enabled,o,go 22764;pm AR Howling&Birds Mov;vm 100;,
29,cloMarker,56703,136,174,23,22,25,24,142,198,enabled,,,
30,right,56703,0,377,319,102,116,331,0,428,enabled,r,go 60828;,
31,left,56703,0,0,319,105,119,331,0,0,enabled,l,go 60828;,
32,-,56703,0,124,319,243,276,331,0,141,enabled,o,go 57311;pm AR Lite Wind Mov;vm 80;,
33,clock,56703,238,214,63,62,71,66,247,243,enabled,,,
34,qclo2,56703,110,227,73,37,42,76,115,258,enabled,o,go 57311;pm AR Lite Wind Mov;vm 80;,
